2130	6	2109	1349-##-##	1385-##-##
205	1	208	1634-##-##	1775-##-##
4859	14	3877	1595-##-##	1596-##-##
4059	14	4060	1354-##-##	1355-##-##
4714	14	4261	1560-##-##	1584-##-##
4078	14	4079	714-##-##	715-##-##
1422	1	193	98-##-##	####-##-##
6	0	11	502-##-##	552-##-##
4059	14	4060	1354-##-##	1355-##-##
19	6	2087	1000-##-##	1526-##-##
2071	6	31	1503-##-##	1546-##-##
2059	6	2064	976-##-##	981-##-##
1422	1	837	####-##-##	97-##-##
4544	14	3447	1683-##-##	1687-##-##
4291	14	4263	1345-##-##	1364-##-##
2059	6	2063	330-##-##	700-##-##
12530	23	12525	1491-##-##	1495-##-##
4846	14	4847	1497-##-##	1500-##-##
2702	17	6791	1754-##-##	1756-##-##
4755	14	3447	1611-##-##	1612-##-##
765	1	767	1744-##-##	1782-##-##
2791	14	3493	1697-##-##	1740-##-##
9148	19	2004	1655-##-##	1658-##-##
9492	21	9493	1402-##-##	1402-##-##
113	6	32	1709-##-##	1721-##-##
4004	14	3776	363-##-##	364-##-##
4870	14	4871	1023-##-##	1023-##-##
229	15	4988	756-##-##	1870-##-##
2056	15	4988	962-##-##	1806-##-##
4855	14	4856	1307-##-##	1310-##-##
4620	14	4049	1032-##-##	1044-##-##
4835	14	4836	844-##-##	848-##-##
4501	14	4049	1362-##-##	1370-##-##
9492	21	9493	1429-##-##	1429-##-##
4859	14	3877	1589-##-##	1591-##-##
4360	14	3447	1672-##-##	1679-##-##
4377	14	4049	1458-##-##	1464-##-##
12552	23	12540	1552-##-##	1555-##-##
9160	19	1952	1509-##-##	1511-##-##
2709	14	4743	1660-##-##	1662-##-##
25	0	32	1547-##-##	1712-##-##
2	6	1561	1359-##-##	1484-##-##
6	0	8	1368-##-##	1421-##-##
1970	6	2085	1406-##-##	1532-##-##
4516	14	3447	1591-##-##	1598-##-##
9102	17	5873	1732-##-##	1732-##-##
4846	14	4847	1507-##-##	1530-##-##
4441	14	3710	1477-##-##	####-##-##
4835	14	4836	840-##-##	844-##-##
3904	14	3441	1375-##-##	1381-##-##
9532	21	9442	1787-##-##	1787-##-##
4553	14	4554	1514-##-##	1520-##-##
4544	14	3710	1658-##-##	1659-##-##
1912	15	4977	1300-##-##	1700-##-##
3904	14	3442	1361-##-##	1375-##-##
2848	23	2931	1736-##-##	1739-##-##
4629	14	4537	1000-##-##	1014-##-##
4485	14	4486	1698-##-##	1727-##-##
2057	6	2058	####-##-##	1328-##-##
4516	14	3710	1585-##-##	1587-##-##
9476	21	9477	1586-##-##	1586-##-##
4376	14	3710	1660-##-##	1661-##-##
3485	23	12537	1661-##-##	1665-##-##
4855	14	4856	1306-##-##	1306-##-##
9509	21	9493	1210-##-##	1210-##-##
9509	21	9493	1231-##-##	1231-##-##
4567	14	3710	1198-##-##	1216-##-##
4931	14	3544	1767-##-##	1782-##-##
1637	1	912	1101-##-##	1795-##-##
3440	14	3442	1628-##-##	1633-##-##
4008	14	4009	1451-##-##	1481-##-##
261	1	262	1776-##-##	1783-##-##
4157	14	4158	1378-##-##	1388-##-##
4078	14	4079	714-##-##	717-##-##
3485	14	3486	1701-##-##	1702-##-##
2121	6	2122	1423-##-##	1806-##-##
25	15	5024	1600-##-##	####-##-##
2059	6	2062	1386-##-##	1419-##-##
2675	14	3447	1698-##-##	1714-##-##
4757	14	4758	1479-##-##	1480-##-##
4260	14	4263	1612-##-##	1650-##-##
4960	14	3447	1607-##-##	1611-##-##
6004	17	6005	1751-##-##	1751-##-##
4157	14	4158	1411-##-##	1415-##-##
4376	14	4049	1676-##-##	1689-##-##
2059	6	2063	971-##-##	976-##-##
4444	14	3710	1752-##-##	1753-##-##
8105	20	5770	2006-##-##	2006-##-##
1425	1	122	1790-##-##	1871-##-##
6796	17	6799	2001-##-##	2001-##-##
8438	20	6780	1933-##-##	1933-##-##
4218	17	7181	1999-##-##	1999-##-##
4967	14	4026	1972-##-##	1974-##-##
12289	22	10556	2003-##-##	2003-##-##
11919	22	10858	2012-##-##	2013-##-##
428	1	429	2009-##-##	####-##-##
5490	17	7625	1985-##-##	1985-##-##
